booking_id,user_id,partner_id,booking_date,travel_date,amount_usd,destination_country,booking_status,days_to_travel,name,email,country_x,signup_date,loyalty_status,age,preferred_travel_type,partner_name,partner_type,country_y,rating
1,167,20,2024-03-06,2025-11-22,1747.28,Netherlands Antilles,Confirmed,626,Katherine Pena,omiller@torres.com,Botswana,2024-08-15,Silver,53,Business,Jones-Yates,Hotel,Eritrea,1.0
2,37,8,2024-06-12,2025-05-15,550.42,Belarus,Confirmed,337,Jennifer Reed,lorisullivan@jacobson.com,Saudi Arabia,2022-11-06,Gold,45,Relaxation,"Castro, Howard and Jackson",Airline,Saint Martin,
3,190,27,2023-06-29,2025-12-06,671.87,Mozambique,Confirmed,891,Katherine Davis,dustin72@hotmail.com,New Caledonia,2023-11-23,Platinum,61,Relaxation,"Hunt, Peterson and Chavez",Airline,Turkmenistan,
4,48,24,2023-12-22,2025-08-26,1386.81,Micronesia,Pending,613,Scott Page,lisanolan@moore.com,Saint Martin,2023-04-09,Bronze,65,Romantic,Gonzalez and Sons,Hotel,Singapore,
6,123,9,2025-02-13,2025-05-18,1641.99,Falkland Islands (Malvinas),Cancelled,94,Dylan Kim,ericwilliams@wilson.net,Falkland Islands (Malvinas),2024-07-29,Silver,27,Relaxation,Peck and Sons,Airline,Namibia,1.0
7,140,3,2024-02-08,2025-12-26,890.6,American Samoa,Pending,687,Dana Avila,kathrynsmith@ward.com,New Zealand,2023-12-09,Gold,29,Business,Mcdonald-Walker,Hotel,Cyprus,
8,34,14,2024-04-13,2026-02-15,1493.6,France,Cancelled,673,Dominic Sanchez,brandon24@yahoo.com,Korea,2024-06-22,Platinum,66,Romantic,Howard Ltd,Airline,Tanzania,
9,28,1,2024-03-20,2026-02-02,934.54,Reunion,Confirmed,684,Dale Rich,robert71@yahoo.com,Azerbaijan,2024-02-21,Silver,51,Adventure,Dunn Ltd,Airline,Guernsey,
10,150,20,2025-05-07,2025-08-03,786.62,Russian Federation,Confirmed,88,Jared Morgan,francoalyssa@martinez.com,United States of America,2022-07-04,Bronze,38,Adventure,Jones-Yates,Hotel,Eritrea,4.0
10,150,20,2025-05-07,2025-08-03,786.62,Russian Federation,Confirmed,88,Jared Morgan,francoalyssa@martinez.com,United States of America,2022-07-04,Bronze,38,Adventure,Jones-Yates,Hotel,Eritrea,4.0
11,151,7,2023-05-27,2025-10-11,1695.27,Antarctica (the territory South of 60 deg S),Cancelled,868,Travis Adams,ballen@gmail.com,Armenia,2022-07-15,Platinum,25,Relaxation,Williams-Sexton,Hotel,United States of America,
